category,grp,code,descript
ACT TAKEN ,7,79,Assess severe weather or natural disaster damage  
ACT TAKEN ,8,80,"Information, investigation & enforcement, Other   "
ACT TAKEN ,8,81,Incident command                                  
ACT TAKEN ,8,82,Notify other agencies.                            
ACT TAKEN ,8,83,Provide information to public or media            
ACT TAKEN ,8,84,Refer to proper authority                         
ACT TAKEN ,8,85,Enforce codes                                     
ACT TAKEN ,8,86,Investigate                                       
ACT TAKEN ,8,87,Investigate fire out on arrival                   
ACT TAKEN ,9,90,"Fill-in, standby, Other                           "
ACT TAKEN ,9,91,Fill-in or moveup                                 
ACT TAKEN ,9,92,Standby                                           
ACT TAKEN ,9,93,Cancelled en route                                
ACT TAKEN ,X              ,UU             ,Undetermined (conversion only)                    
AES FAIL  ,               ,0,"Reason system not effective, Other                "
AES FAIL  ,               ,1,System shut off                                   
AES FAIL  ,               ,2,Not enough agent discharged to control the fire   
AES FAIL  ,               ,3,"Agent discharged, but did not reach the fire      "
AES FAIL  ,               ,4,Inappropriate system for the type of fire         
AES FAIL  ,               ,5,Fire not in area protected by the system          
AES FAIL  ,               ,6,System components damaged                         
AES FAIL  ,               ,7,"Lack of maint, including corrosion/heads painted  "
AES FAIL  ,               ,8,Manual intervention defeated the system           
AES FAIL  ,               ,U              ,Undetermined                                      
AES OPER  ,               ,0,"Operation of AES, Other                           "
AES OPER  ,               ,1,System operated and was effective                 
AES OPER  ,               ,2,System operated and was not effective             
AES OPER  ,               ,3,Fire too small to activate system                 
AES OPER  ,               ,4,System did not operate                            
AES OPER  ,               ,U              ,Undetermined                                      
AES PRES  ,               ,1,Present                                           
AES PRES  ,               ,2,Partial System Present                            
AES PRES  ,               ,N              ,None Present                                      
AES PRES  ,               ,U              ,Undetermined                                      
AES TYPE  ,               ,0,"Special hazard system, Other                      "
AES TYPE  ,               ,1,Wet-pipe sprinkler                                
AES TYPE  ,               ,2,Dry-pipe sprinkler                                
AES TYPE  ,               ,3,Other sprinkler system                            
AES TYPE  ,               ,4,Dry chemical system                               
AES TYPE  ,               ,5,Foam system                                       
AES TYPE  ,               ,6,Halogen type system                               
AES TYPE  ,               ,7,Carbon dioxide system                             
AES TYPE  ,               ,U              ,Undetermined                                      
ALM METHOD,               ,0,Method Alarm - Not Class.                         
ALM METHOD,               ,1,Telephone Direct                                  
ALM METHOD,               ,2,Coded Signal Municipal Sys.                       
ALM METHOD,               ,3,Private Fire Alarm                                
ALM METHOD,               ,4,Radio                                             
ALM METHOD,               ,5,Direct Verbal Report                              
ALM METHOD,               ,6,No Alarm Received - No Response                   
ALM METHOD,               ,7,Telephone Tie Line                                
ALM METHOD,               ,8,Voice Signal - Municipal                          
ALM METHOD,               ,9,Method of Alarm Not Class.                        
ALM TYPE  ,               ,1,Still                                             
ALM TYPE  ,               ,2,Regular                                           
ALM TYPE  ,               ,3,Special                                           
ALM TYPE  ,               ,4,Second                                            
ALM TYPE  ,               ,5,Third                                             
ALM TYPE  ,               ,6,Fourth                                            
AREA ORG  ,9,0,Other                                             
AREA ORG  ,0,1,"Hallway corridor, mall                            "
AREA ORG  ,0,2,"Exterior stairway, ramp, or fire escape           "
AREA ORG  ,0,3,Interior stairway or ramp                         
AREA ORG  ,0,4,"Escalator - exterior, interior                    "
AREA ORG  ,0,5,"Entrance way, lobby                               "
AREA ORG  ,0,9,"Egress/exit, Other                                "
AREA ORG  ,1,10,"Assembly or sales area, Other                     "
AREA ORG  ,1,11,"Arena, assembly area w/ fixed seats - 100+ persons"
AREA ORG  ,1,12,Assembly area without fixed seats - 100+ persons  
AREA ORG  ,1,13,Assembly area - less than 100 persons             
AREA ORG  ,1,14,"Common room, den, family room, living room, lounge"
AREA ORG  ,1,15,"Sales area, showroom (exclude display window)     "
AREA ORG  ,1,16,"Art gallery, exhibit hall, library                "
AREA ORG  ,1,17,Swimming pool                                     
AREA ORG  ,2,20,"Function areas, other                             "
AREA ORG  ,2,21,Bedroom - < 5 persons; included are jail or prison
AREA ORG  ,2,22,Bedroom - 5+ persons; including barrack/dormitory 
AREA ORG  ,2,23,"Dining room, cafeteria, bar area, beverage service"
AREA ORG  ,2,24,"Cooking area, kitchen                             "
AREA ORG  ,2,25,"Bathroom, checkroom, lavatory, locker room        "
AREA ORG  ,2,26,"Laundry area, wash house (laundry)                "
AREA ORG  ,2,27,Office                                            
AREA ORG  ,2,28,"Personal service area, barber/beauty salon area   "
AREA ORG  ,3,30,"Technical processing areas, Other                 "
AREA ORG  ,3,31,Laboratory                                        
AREA ORG  ,3,32,"Dark room, photography area, or printing area     "
AREA ORG  ,3,33,"Treatment - first aid area, surgery area          "
AREA ORG  ,3,34,"Surgery area - major operations, operating room   "
AREA ORG  ,3,35,"Computer room, control room or center             "
AREA ORG  ,3,36,"Stage area - performance, basketball court, boxing"
AREA ORG  ,3,37,"Projection room, spotlight area                   "
AREA ORG  ,3,38,"Processing/manufacturing area, workroom           "
AREA ORG  ,4,40,"Storage area, Other                               "
AREA ORG  ,4,41,"Storage room, area, tank, or bin                  "
AREA ORG  ,4,42,Closet                                            
AREA ORG  ,4,43,Storage: supplies or tools; dead storage          
AREA ORG  ,4,44,"Records storage room, storage vault               "
AREA ORG  ,4,45,"Shipping/receiving area; loading area, dock or bay"
AREA ORG  ,4,46,"Chute/container - trash, rubbish, waste           "
AREA ORG  ,4,47,"Vehicle storage area; garage, carport             "
AREA ORG  ,5,50,"Service facilities, Other                         "
AREA ORG  ,5,51,Dumbwaiter or elavator shaft                      
AREA ORG  ,5,52,"Conduit, pipe, utility, or ventilation shaft      "
AREA ORG  ,5,53,Light shaft                                       
AREA ORG  ,5,54,"Chute; laundry or mail, excluding trash chutes    "
AREA ORG  ,5,55,"Duct: hvac, cable, exhaust, heating, or AC        "
AREA ORG  ,5,56,Display window                                    
AREA ORG  ,5,57,Chimney (conversion only)                         
AREA ORG  ,5,58,Conveyor                                          
AREA ORG  ,6,60,"Equipment or service area, Other                  "
AREA ORG  ,6,61,Machinery room or area; elevator machinery room   
AREA ORG  ,6,62,"Heating room or area, water heater area           "
AREA ORG  ,6,63,"Switchgear area, transformer vault                "
AREA ORG  ,6,64,Incinerator area                                  
AREA ORG  ,6,65,"Maintenance shop or area, paint shop or area      "
AREA ORG  ,6,66,"Cell, test                                        "
AREA ORG  ,6,67,"Enclosure, pressurized air                        "
AREA ORG  ,6,68,"Enclosure, enriched oxygen atmosphere             "
AREA ORG  ,7,70,"Structural area, Other                            "
AREA ORG  ,7,71,"Substructure area or space, crawl space           "
AREA ORG  ,7,72,"Exterior balcony, unenclosed porch                "
AREA ORG  ,7,73,"Ceiling & floor assembly, crawl space btwn stories"
AREA ORG  ,7,74,"Attic: vacant, crawl space above top story, cupola"
AREA ORG  ,7,75,"Wall assembly, concealed wall space               "
AREA ORG  ,7,76,Wall surface: exterior                            
AREA ORG  ,7,77,Roof surface: exterior                            
AREA ORG  ,7,78,Awning                                            
AREA ORG  ,8,80,"Vehicle area, Other                               "
AREA ORG  ,8,81,Operator/passenger area of transportation equip.  
AREA ORG  ,8,82,Cargo/trunk area - all vehicles                   
AREA ORG  ,8,83,"Engine area, running gear, wheel area             "
AREA ORG  ,8,84,"Fuel tank, fuel line                              "
AREA ORG  ,8,85,Separate operator/control area of transportation  
AREA ORG  ,8,86,"Exterior, exposed surface                         "
AREA ORG  ,9,90,"Outside area, Other                               "
AREA ORG  ,9,91,Railroad right of way: on or near                 
AREA ORG  ,9,92,"Highway, parking lot, street: on or near          "
AREA ORG  ,9,93,"Courtyard, patio, porch, terrace                  "
AREA ORG  ,9,94,"Open area - outside; included are farmland, field "
AREA ORG  ,9,95,"Wildland, woods                                   "
AREA ORG  ,9,96,Construction/renovation area                      
AREA ORG  ,9,97,Multiple areas                                    
AREA ORG  ,9,98,Vacant structural area                            
AREA ORG  ,9,UU             ,Undetermined                                      
ARS AVAIL ,               ,1,Transported to scene                              
ARS AVAIL ,               ,2,Available at scene                                
ARS AVAIL ,               ,U              ,Unknown                                           
ARS CONT  ,               ,0,Other container                                   
ARS CONT  ,               ,11,"Bottle, glass                                     "
ARS CONT  ,               ,12,"Bottle, plastic                                   "
ARS CONT  ,               ,13,Jug                                               
ARS CONT  ,               ,14,Pressurized container                             
ARS CONT  ,               ,15,Can (not gasoline or fuel can)                    
ARS CONT  ,               ,16,Gasoline or fuel can                              
ARS CONT  ,               ,17,Box                                               
ARS CONT  ,               ,NN             ,No container                                      
ARS CONT  ,               ,UU             ,Unknown                                           
ARS CURIO ,               ,1,Mild curiosity about fire                         
ARS CURIO ,               ,2,Moderate curiosity about fire                     
ARS CURIO ,               ,3,Extreme curiosity about fire                      
ARS DEVICE,               ,0,Other delay device                                
ARS DEVICE,               ,11,Wick or fuse                                      
ARS DEVICE,               ,12,Candle                                            
ARS DEVICE,               ,13,Cigarette and matchbook                           
ARS DEVICE,               ,14,Electronic component                              
ARS DEVICE,               ,15,Mechanical device                                 
ARS DEVICE,               ,16,Remote control                                    
ARS DEVICE,               ,17,Road flare/fuse                                   
ARS DEVICE,               ,18,Chemical component                                
ARS DEVICE,               ,19,Trailer/streamer                                  
ARS DEVICE,               ,20,Open flame source                                 
ARS DEVICE,               ,NN             ,No device                                         
ARS DEVICE,               ,UU             ,Unknown                                           
ARS DISP  ,               ,0,Other                                             
ARS DISP  ,               ,1,Handled within department                         
ARS DISP  ,               ,2,Released to parent or guardian                    
ARS DISP  ,               ,3,Referred to other authority                       
ARS DISP  ,               ,4,Referred to treatment/counseling program          
ARS DISP  ,               ,5,"Arrested, charged as adult                        "
ARS DISP  ,               ,6,Referred to firesetter intervention program       
ARS DISP  ,               ,U              ,Unknown                                           
ARS ENTRY ,               ,0,Other entry method                                
ARS ENTRY ,               ,11,Door open or unlocked                             
ARS ENTRY ,               ,12,Door forced or broken                             
ARS ENTRY ,               ,13,Window open or unlocked                           
ARS ENTRY ,               ,14,Window forced or broken                           
ARS ENTRY ,               ,15,Gate open or unlocked                             
ARS ENTRY ,               ,16,Gate forced or broken                             
ARS ENTRY ,               ,17,Locks pried                                       
ARS ENTRY ,               ,18,Locks cut                                         
ARS ENTRY ,               ,19,Floor entry                                       
ARS ENTRY ,               ,21,Vent                                              
ARS ENTRY ,               ,22,Attic/roof                                        
ARS ENTRY ,               ,23,Key                                               
ARS ENTRY ,               ,24,Help from inside                                  
ARS ENTRY ,               ,25,Wall                                              
ARS ENTRY ,               ,26,Crawl space                                       
ARS ENTRY ,               ,27,Hid in/on premises                                
ARS ENTRY ,               ,UU             ,Unknown                                           
ARS EVCOL ,               ,1,Owner Permission                                  
ARS EVCOL ,               ,2,Criminal Search Warrant                           
ARS EVCOL ,               ,3,Administrative Search Warrant                     
ARS EVCOL ,               ,4,Other                                             
ARS EXTENT,               ,1,No flame or smoke showing                         
ARS EXTENT,               ,2,Smoke only showing                                
ARS EXTENT,               ,3,Flame and smoke showing                           
ARS EXTENT,               ,4,Fire through roof                                 
ARS EXTENT,               ,5,Fully involved                                    
ARS FAMILY,               ,0,Other family type                                 
ARS FAMILY,               ,1,Single-parent family                              
ARS FAMILY,               ,2,Foster parents                                    
ARS FAMILY,               ,3,Two-parent family                                 
ARS FAMILY,               ,4,"Extended family, including multigenerational      "
ARS FAMILY,               ,N              ,No family unit                                    
ARS FAMILY,               ,U              ,Unknown                                           
ARS FUEL  ,               ,0,Other material                                    
ARS FUEL  ,               ,11,Ordinary combustibles                             
ARS FUEL  ,               ,12,Flammable gas                                     
ARS FUEL  ,               ,14,Ignitable liquid                                  
ARS FUEL  ,               ,15,Ignitable solid                                   
ARS FUEL  ,               ,16,Pyrotechnic material                              
ARS FUEL  ,               ,17,Explosive material                                
ARS FUEL  ,               ,NN             ,None                                              
ARS FUEL  ,               ,UU             ,Unknown                                           
ARS INFO  ,               ,1,Code violations                                   
ARS INFO  ,               ,2,Structure for sale                                
ARS INFO  ,               ,3,Structure vacant                                  
ARS INFO  ,               ,4,Other crimes involved                             
ARS INFO  ,               ,5,Illicit drug activity                             
ARS INFO  ,               ,6,Change in insurance                               
ARS INFO  ,               ,7,Financial problem                                 
ARS INFO  ,               ,8,Criminal/civil actions pending                    
ARS INVL  ,               ,0,Other group                                       
ARS INVL  ,               ,1,Terrorist group                                   
ARS INVL  ,               ,2,Gang                                              
ARS INVL  ,               ,3,Anti-government group                             
ARS INVL  ,               ,4,Outlaw motorcycle organization                    
ARS INVL  ,               ,5,Organized crime                                   
ARS INVL  ,               ,6,Racial/ethnic hate group                          
ARS INVL  ,               ,7,Religious hate group                              
ARS INVL  ,               ,8,Sexual preference hate group                      
ARS INVL  ,               ,N              ,"No group involvement, acted alone                 "
ARS INVL  ,               ,U              ,Unknown                                           
ARS LAB   ,               ,1,Local                                             
ARS LAB   ,               ,2,State                                             
ARS LAB   ,               ,3,ATF                                               
ARS LAB   ,               ,4,FBI                                               
ARS LAB   ,               ,5,Other federal laboratory                          
ARS LAB   ,               ,6,Private                                           
ARS LAB   ,               ,N              ,None                                              
ARS MARI  ,               ,DIV            ,Divorced                                          
ARS MARI  ,               ,MAR            ,Married                                           
ARS MARI  ,               ,SEP            ,Separated                                         
ARS MARI  ,               ,SGL            ,Single                                            
ARS MOTIV ,               ,0,Other suspected motivation                        
ARS MOTIV ,               ,11,Extortion                                         
ARS MOTIV ,               ,12,Labor unrest                                      
ARS MOTIV ,               ,13,Insurance fraud                                   
ARS MOTIV ,               ,14,Intimidation                                      
ARS MOTIV ,               ,15,Void contract/lease                               
ARS MOTIV ,               ,16,Foreclosed property                               
ARS MOTIV ,               ,21,Personal                                          
ARS MOTIV ,               ,22,Hate crime                                        
ARS MOTIV ,               ,23,Institutional                                     
ARS MOTIV ,               ,24,Societal                                          
ARS MOTIV ,               ,31,Protest                                           
ARS MOTIV ,               ,32,Civil unrest                                      
ARS MOTIV ,               ,41,Fireplay/curiosity                                
ARS MOTIV ,               ,42,Vanity/recognition                                
ARS MOTIV ,               ,43,Thrills                                           
ARS MOTIV ,               ,44,Attention/sympathy                                
ARS MOTIV ,               ,45,Sexual excitement                                 
ARS MOTIV ,               ,51,Homicide                                          
ARS MOTIV ,               ,52,Suicide                                           
ARS MOTIV ,               ,53,Domestic violence                                 
ARS MOTIV ,               ,54,Burglary                                          
ARS MOTIV ,               ,61,Homicide concealment                              
ARS MOTIV ,               ,62,Burglary concealment                              
ARS MOTIV ,               ,63,Auto theft concealment                            
ARS MOTIV ,               ,64,Destroy records/evidence                          
ARS MOTIV ,               ,UU             ,Unknown                                           
ARS OBSERV,               ,1,Windows ajar                                      
ARS OBSERV,               ,2,Doors ajar                                        
ARS OBSERV,               ,3,Doors locked                                      
ARS OBSERV,               ,4,Doors unlocked                                    
ARS OBSERV,               ,5,Fire department forced entry                      
ARS OBSERV,               ,6,Entry forced prior to FD arrival                  
ARS OBSERV,               ,7,Security system was activated                     
ARS OBSERV,               ,8,Security system was present but not activated     
ARS RISK  ,               ,0,Other                                             
ARS RISK  ,               ,4,Diagnosed (or suspected) ADD/ADHD                 
ARS RISK  ,               ,5,History of trouble outside school                 
ARS RISK  ,               ,6,History of stealing or shoplifting                
ARS RISK  ,               ,7,History of physically assaulting others           
ARS RISK  ,               ,8,History of fireplay or firesetting                
ARS RISK  ,               ,9,Transiency                                        
ARS RISK  ,               ,U              ,Unknown                                           
ARS STAT  ,               ,1,Investigation open                                
ARS STAT  ,               ,2,Investigation closed                              
ARS STAT  ,               ,3,Investigation inactive                            
ARS STAT  ,               ,4,Investigation closed with arrest                  
ARS STAT  ,               ,5,Closed with exceptional clearance                 
AUTH TYPE ,               ,MM             ,Member Making Report                              
AUTH TYPE ,               ,OC             ,Officer in Charge                                 
AUTH TYPE ,               ,QC             ,Quality Control Approved                          
BLDG STAT ,               ,0,Other                                             
BLDG STAT ,               ,1,Demolished                                        
BLDG STAT ,               ,1,Under construction                                
BLDG STAT ,               ,2,In normal use                                     
BLDG STAT ,               ,3,"Idle, not routinely used                          "
BLDG STAT ,               ,4,Under major renovation                            
BLDG STAT ,               ,5,Vacant and secured                                
BLDG STAT ,               ,6,Vacant and unsecured                              
BLDG STAT ,               ,7,Being demolished                                  
BLDG STAT ,               ,U              ,Undetermined                                      
CAUSE IGN ,               ,0,"Cause, Other                                      "
CAUSE IGN ,               ,1,Intentional                                       
CAUSE IGN ,               ,2,Unintentional                                     
CAUSE IGN ,               ,3,Failure of equipment or heat source               
CAUSE IGN ,               ,4,Act of nature                                     
CAUSE IGN ,               ,5,Cause under investigation                         
CAUSE IGN ,               ,U              ,Cause undetermined after investigation            
CC ACTV   ,               ,0,Other Activity                                    
CC ACTV   ,               ,1,Escaping                                          
CC ACTV   ,               ,2,Rescue attempt                                    
CC ACTV   ,               ,3,Fire control                                      
CC ACTV   ,               ,4,Returning to vicinity of fire before control      
CC ACTV   ,               ,5,Returning to vicinity of fire after control       
CC ACTV   ,               ,6,Sleeping                                          
CC ACTV   ,               ,7,Unable to act                                     
CC ACTV   ,               ,8,Irrational act                                    
CC ACTV   ,               ,U              ,Undetermined                                      
CC AFFIL  ,               ,0,Other                                             
CC AFFIL  ,               ,1,Civilian                                          
CC AFFIL  ,               ,2,"EMS, not fire department                          "
CC AFFIL  ,               ,3,Police                                            
CC AFFIL  ,               ,U              ,Undetermined (conversion only)                    
CC BODY   ,               ,0,Other area (conversion only)                      
CC BODY   ,               ,1,Head                                              
CC BODY   ,               ,2,Neck or shoulder                                  
CC BODY   ,               ,3,"Thorax, includes chest and back, excludes spine   "
CC BODY   ,               ,4,Abdomen                                           
CC BODY   ,               ,5,Spine                                             
CC BODY   ,               ,6,Upper extremities                                 
CC BODY   ,               ,7,Lower extremities                                 
CC BODY   ,               ,8,Internal                                          
CC BODY   ,               ,9,Multiple body parts                               
CC BODY   ,               ,U              ,Undetermined (conversion only)                    
CC CAUSE  ,               ,0,Other                                             
CC CAUSE  ,               ,1,Exposed to fire products                          
CC CAUSE  ,               ,2,Exposed to hazardous materials or toxic fumes     
CC CAUSE  ,               ,3,Jumped in escape attempt                          
CC CAUSE  ,               ,4,"Fell, slipped or tripped                          "
CC CAUSE  ,               ,5,Caught or trapped                                 
CC CAUSE  ,               ,6,Structural collapse                               
CC CAUSE  ,               ,7,Struck by or contact with object                  
CC CAUSE  ,               ,8,Overexertion or strain                            
CC CAUSE  ,               ,9,Multiple causes                                   
CC CAUSE  ,               ,N              ,None (conversion only)                            
CC CAUSE  ,               ,U              ,Undetermined                                      
CC DISP   ,               ,1,Transported to emergency care facility            
CC FACT   ,9,0,"Factor contributing to injury, other              "
CC FACT   ,1,10,"Egress problem, Other                             "
CC FACT   ,1,11,"Crowd situation, limited exits                    "
CC FACT   ,1,12,Mechanical obstacles to exit                      
CC FACT   ,1,13,Locked exit or other problem with exit            
CC FACT   ,1,14,Problem with quick release burglar or security bar
CC FACT   ,1,15,"Burglar or security bar, intrusion barrier        "
CC FACT   ,1,16,Window type or size impeded egress                
CC FACT   ,2,20,"Fire pattern, Other                               "
CC FACT   ,2,21,Exits blocked by flame                            
CC FACT   ,2,22,Exits blocked by smoke                            
CC FACT   ,2,23,Vision blocked or impaired by smoke               
CC FACT   ,2,24,Trapped above fire                                
CC FACT   ,2,25,Trapped below fire                                
CC FACT   ,3,30,"Escape, Other                                     "
CC FACT   ,3,31,Unfamiliar with exits                             
CC FACT   ,3,32,Excessive travel distance to nearest clear exit   
CC FACT   ,3,33,Chose inappropriate exit route                    
CC FACT   ,3,34,Re-entered building                               
CC FACT   ,3,35,Clothing caught fire while escaping               
CC FACT   ,4,40,"Collapse, Other                                   "
CC FACT   ,4,41,Roof collapse                                     
CC FACT   ,4,42,Wall collapse                                     
CC FACT   ,4,43,Floor collapse                                    
CC FACT   ,5,50,"Vehicle-related, Other                            "
CC FACT   ,5,51,Trapped in/by vehicle                             
CC FACT   ,5,52,"Vehicle collision, rollover                       "
CC FACT   ,6,60,"Equipment-related factors, other                  "
CC FACT   ,6,61,Unvented heating equipment                        
CC FACT   ,6,62,Improper use of heating equipment                 
CC FACT   ,6,63,Improper use of cooking equipment                 
CC FACT   ,9,91,"Clothing burned, not while escaping               "
CC FACT   ,9,92,Overexertion                                      
CC FACT   ,9,NN             ,None                                              
CC FACT   ,9,UU             ,Undetermined (conversion only)                    
CC GEN    ,               ,1,In area of origin                                 
CC GEN    ,               ,2,"In building, but not in area of origin            "
CC GEN    ,               ,3,"Outside, not in area of origin                    "
CC GEN    ,               ,U              ,Undetermined                                      
CC HUMAN  ,               ,1,Asleep                                            
CC HUMAN  ,               ,2,Unconscious                                       
CC HUMAN  ,               ,3,Possibly impaired by alcohol                      
CC HUMAN  ,               ,4,Possibly impaired by other drug or chemical       
CC HUMAN  ,               ,5,Possibly mentally disabled                        
CC HUMAN  ,               ,6,Physically disabled                               
CC HUMAN  ,               ,7,Physically restrained                             
CC HUMAN  ,               ,8,Unattended or unsupervised person                 
CC HUMAN  ,               ,N              ,None                                              
CC LOC    ,               ,0,Other location                                    
CC LOC    ,               ,1,In area of origin & not involved                  
CC LOC    ,               ,2,Not in area & not involved                        
CC LOC    ,               ,3,"Not in area of origin, but involved               "
CC LOC    ,               ,4,In area of origin and involved                    
CC LOC    ,               ,U              ,Undetermined                                      
CC SEV    ,               ,1,Minor                                             
CC SEV    ,               ,2,Moderate                                          
CC SEV    ,               ,3,Severe                                            
CC SEV    ,               ,4,Life threatening                                  
CC SEV    ,               ,5,Death                                             
CC SEV    ,               ,U              ,Undetermined                                      
CC SYMPT  ,               ,0,"Primary apparent symptom, other                   "
CC SYMPT  ,               ,1,Smoke inhalation                                  
CC SYMPT  ,               ,2,Hazardous fumes inhalation                        
CC SYMPT  ,               ,3,Breathing difficulty or shortness of breath       
CC SYMPT  ,               ,11,Burns and smoke inhalation                        
CC SYMPT  ,               ,12,"Burns only, thermal                               "
CC SYMPT  ,               ,13,"Burn, scald                                       "
CC SYMPT  ,               ,14,"Burn, chemical                                    "
CC SYMPT  ,               ,15,"Burn, electric                                    "
CC SYMPT  ,               ,21,Cut or laceration                                 
CC SYMPT  ,               ,22,Stab wound/puncture wound: penetrating            
CC SYMPT  ,               ,23,Gunshot wound; projectile wound                   
CC SYMPT  ,               ,24,"Contusion/bruise, minor trauma                    "
CC SYMPT  ,               ,25,Abrasion                                          
CC SYMPT  ,               ,31,Dislocation                                       
CC SYMPT  ,               ,32,Fracture                                          
CC SYMPT  ,               ,33,Strain or sprain                                  
CC SYMPT  ,               ,34,Swelling                                          
CC SYMPT  ,               ,35,Crushing                                          
CC SYMPT  ,               ,36,Amputation                                        
CC SYMPT  ,               ,41,Cardiac symptoms                                  
CC SYMPT  ,               ,42,Cardiac arrest                                    
CC SYMPT  ,               ,43,Stroke                                            
CC SYMPT  ,               ,44,Respiratory arrest                                
CC SYMPT  ,               ,50,"Sickness, Other                                   "
CC SYMPT  ,               ,51,Chills                                            
CC SYMPT  ,               ,52,Fever                                             
CC SYMPT  ,               ,53,Nausea                                            
CC SYMPT  ,               ,54,Vomiting                                          
CC SYMPT  ,               ,55,"Numbness or tingling, paresthesia                 "
CC SYMPT  ,               ,56,Paralysis                                         
CC SYMPT  ,               ,57,Frostbite                                         
CC SYMPT  ,               ,61,Miscarriage                                       
CC SYMPT  ,               ,63,"Eye trauma, avulsion                              "
CC SYMPT  ,               ,64,Drowning                                          
CC SYMPT  ,               ,65,Foreign body obstruction                          
CC SYMPT  ,               ,66,Electric shock                                    
CC SYMPT  ,               ,67,Poison                                            
CC SYMPT  ,               ,71,Convulsion or seizure                             
CC SYMPT  ,               ,72,Internal trauma                                   
CC SYMPT  ,               ,73,"Hemorrhaging, bleeding internally                 "
CC SYMPT  ,               ,81,Disorientation                                    
CC SYMPT  ,               ,82,Dizziness/fainting/weakness                       
CC SYMPT  ,               ,83,"Exhaustion/fatigue, including heat exhaustion     "
CC SYMPT  ,               ,84,Heat stroke                                       
CC SYMPT  ,               ,85,Dehydration                                       
CC SYMPT  ,               ,91,"Allergic reaction, including anaphylactic shock   "
CC SYMPT  ,               ,92,Drug overdose                                     
CC SYMPT  ,               ,93,Alcohol impairment                                
CC SYMPT  ,               ,94,Emotional/psychological stress                    
CC SYMPT  ,               ,95,Mental disorder                                   
CC SYMPT  ,               ,96,Shock                                             
CC SYMPT  ,               ,97,Unconscious                                       
CC SYMPT  ,               ,98,Pain only                                         
CC SYMPT  ,               ,NN             ,None                                              
CC SYMPT  ,               ,UU             ,Undetermined                                      
CLR FLAME ,               ,B              ,Blue                                              
CLR FLAME ,               ,N              ,No Visible Flame                                  
CLR FLAME ,               ,O              ,Orange                                            
CLR FLAME ,               ,R              ,Red                                               
CLR FLAME ,               ,W              ,White                                             
CLR FLAME ,               ,Y              ,Yellow                                            
CLR SMOKE ,               ,B              ,Blue                                              
CLR SMOKE ,               ,G              ,Gray                                              
CLR SMOKE ,               ,K              ,Black                                             
CLR SMOKE ,               ,N              ,No Smoke                                          
CLR SMOKE ,               ,W              ,White                                             
COC REASON,               ,ANALYSIS       ,Analysis                                          
